Merchant,Country,Location,Day,Local Time,Local Currency,Local Currency Transaction Value,Card Currency,Payment Amount,Margin Income F,Margin Income A
NovaPay,South Africa,Johannesburg,Thursday,4:00,ZAR,70.35,EUR,70.35,0.7,2.11
BuyNet,Denmark,Aarhus,Thursday,1:00,DKK,83.89,GBP,98.69,0.99,2.96
FlexiPay,UK,Birmingham,Saturday,23:00,GBP,250.81,USD,228.01,2.28,6.84
MerchantX,South Africa,Pretoria,Wednesday,11:00,ZAR,1130.24,AUD,684.99,6.85,20.55
AlphaPay,Denmark,Aarhus,Wednesday,5:00,DKK,320.28,USD,291.17,2.91,8.74
GlobalMart,Germany,Bremen,Friday,8:00,EUR,363.85,USD,330.77,3.31,9.92
PaySphere,China,Guangzhou,Saturday,20:00,CNY,70.93,AUD,42.99,0.43,1.29
QuickServe,Canada,Vancouver,Thursday,16:00,CAD,483.42,AUD,292.98,2.93,8.79
FinEdge,Denmark,Aarhus,Monday,12:00,DKK,2167.6,EUR,2167.6,21.68,65.03
Transactly,Netherlands,Almere,Sunday,13:00,EUR,144.04,USD,130.95,1.31,3.93
Cashwave,Canada,Vancouver,Thursday,9:00,CAD,225.33,AUD,136.57,1.37,4.1
NeoCommerce,Japan,Sapporo,Thursday,19:00,JPY,40.22,AED,9.93,0.1,0.3
EuroLink,Thailand,Chiang Mai,Sunday,15:00,THB,68.88,AED,17.01,0.17,0.51
SmartFunds,USA,Austin,Monday,8:00,USD,493.12,GBP,580.14,5.8,17.4
TradeNova,China,Beijing,Sunday,11:00,CNY,2753.56,EUR,2753.56,27.54,82.61
NovaPay,Canada,London,Sunday,13:00,CAD,414.26,EUR,414.26,4.14,12.43
BuyNet,Malaysia,Ipoh,Tuesday,13:00,MYR,51.72,EUR,51.72,0.52,1.55
FlexiPay,India,Mumbai,Friday,2:00,INR,288.68,AUD,174.96,1.75,5.25
MerchantX,Vietnam,Hanoi,Saturday,10:00,VND,358.51,USD,325.92,3.26,9.78
AlphaPay,Norway,Trondheim,Tuesday,23:00,NOK,109.85,USD,99.87,1,3
GlobalMart,Switzerland,Zurich,Monday,13:00,CHF,444.81,GBP,523.31,5.23,15.7
PaySphere,France,Lyon,Monday,7:00,EUR,216.37,AUD,131.13,1.31,3.93
QuickServe,Malaysia,Johor Bahru,Friday,14:00,MYR,169.39,USD,153.99,1.54,4.62
FinEdge,Vietnam,Ho Chi Minh City,Saturday,9:00,VND,121.46,AED,29.99,0.3,0.9
Transactly,UAE,Al Ain,Monday,14:00,AED,153.71,GBP,180.84,1.81,5.43
Cashwave,Germany,Düsseldorf,Thursday,9:00,EUR,376.63,USD,342.39,3.42,10.27
NeoCommerce,Norway,Bergen,Wednesday,19:00,NOK,137.99,EUR,137.99,1.38,4.14
EuroLink,Japan,Osaka,Saturday,11:00,JPY,493.39,AUD,299.02,2.99,8.97
SmartFunds,Canada,London,Monday,15:00,CAD,8.51,GBP,10.01,0.1,0.3
TradeNova,Sweden,Uppsala,Saturday,14:00,SEK,276.18,USD,251.08,2.51,7.53
NovaPay,Singapore,Singapore,Friday,10:00,SGD,270.2,AUD,163.76,1.64,4.91
BuyNet,France,Toulouse,Thursday,4:00,EUR,402.68,GBP,473.74,4.74,14.21
FlexiPay,Canada,Toronto,Thursday,0:00,CAD,478.35,USD,434.87,4.35,13.05
MerchantX,Australia,Gold Coast,Saturday,4:00,AUD,179.5,EUR,179.5,1.8,5.38
AlphaPay,Vietnam,Da Nang,Tuesday,20:00,VND,321.45,AUD,194.82,1.95,5.84
GlobalMart,India,Delhi,Monday,11:00,INR,922.33,AED,227.74,2.28,6.83
PaySphere,Thailand,Phuket,Thursday,8:00,THB,222.24,USD,202.03,2.02,6.06
QuickServe,Spain,Bilbao,Monday,7:00,EUR,372.7,USD,338.82,3.39,10.16
FinEdge,France,Nantes,Friday,8:00,EUR,113.16,AED,27.94,0.28,0.84
Transactly,Ireland,Limerick,Tuesday,21:00,EUR,137.37,AUD,83.26,0.83,2.5
Cashwave,UK,London,Wednesday,22:00,GBP,52.83,EUR,52.83,0.53,1.58
NeoCommerce,UAE,Al Ain,Tuesday,3:00,AED,304.72,GBP,358.5,3.58,10.76
EuroLink,Japan,Sapporo,Thursday,8:00,JPY,90.26,EUR,90.26,0.9,2.71
SmartFunds,UAE,Ajman,Friday,10:00,AED,481.91,AUD,292.06,2.92,8.76
TradeNova,Australia,Brisbane,Saturday,14:00,AUD,122.89,USD,111.71,1.12,3.35
NovaPay,Australia,Darwin,Saturday,6:00,AUD,260.54,EUR,260.54,2.61,7.82
BuyNet,USA,Dallas,Monday,6:00,USD,266.85,AUD,161.73,1.62,4.85
FlexiPay,Brazil,Rio de Janeiro,Friday,20:00,BRL,2325.75,AED,574.26,5.74,17.23
MerchantX,Malaysia,Ipoh,Tuesday,8:00,MYR,343.89,EUR,343.89,3.44,10.32
AlphaPay,China,Shanghai,Tuesday,5:00,CNY,478.9,GBP,563.41,5.63,16.9
GlobalMart,Denmark,Copenhagen,Thursday,13:00,DKK,134.27,USD,122.07,1.22,3.66
PaySphere,China,Guangzhou,Friday,5:00,CNY,34.84,USD,31.67,0.32,0.95
QuickServe,USA,Phoenix,Thursday,11:00,USD,279.55,AUD,169.42,1.69,5.08
FinEdge,Germany,Frankfurt,Wednesday,8:00,EUR,416.43,AUD,252.38,2.52,7.57
Transactly,Spain,Barcelona,Wednesday,20:00,EUR,318.73,GBP,374.97,3.75,11.25
Cashwave,Mexico,Monterrey,Wednesday,6:00,MXN,127.83,EUR,127.83,1.28,3.83
NeoCommerce,Mexico,Monterrey,Tuesday,13:00,MXN,320.93,AED,79.24,0.79,2.38
EuroLink,Germany,Dortmund,Thursday,12:00,EUR,132.74,USD,120.68,1.21,3.62
SmartFunds,Canada,Vancouver,Tuesday,13:00,CAD,247.91,AUD,150.25,1.5,4.51
TradeNova,Switzerland,Bern,Thursday,9:00,CHF,452.34,EUR,452.34,4.52,13.57
NovaPay,Singapore,Singapore,Friday,23:00,SGD,717.07,GBP,843.61,8.44,25.31
BuyNet,UK,Liverpool,Thursday,19:00,GBP,4573.99,AED,1129.38,11.29,33.88
FlexiPay,Thailand,Chiang Mai,Friday,17:00,THB,336.42,EUR,336.42,3.36,10.09
MerchantX,Spain,Zaragoza,Wednesday,7:00,EUR,997.81,USD,907.1,9.07,27.21
AlphaPay,Japan,Osaka,Friday,21:00,JPY,274.35,AUD,166.27,1.66,4.99
GlobalMart,Norway,Bergen,Tuesday,16:00,NOK,276.15,USD,251.05,2.51,7.53
PaySphere,Italy,Turin,Friday,9:00,EUR,45.8,USD,41.64,0.42,1.25
QuickServe,Ireland,Galway,Saturday,15:00,EUR,275.87,GBP,324.55,3.25,9.74
FinEdge,Malaysia,Johor Bahru,Saturday,17:00,MYR,479.79,AED,118.47,1.18,3.55
Transactly,Australia,Perth,Sunday,19:00,AUD,131.79,EUR,131.79,1.32,3.95
Cashwave,Norway,Trondheim,Wednesday,16:00,NOK,9.49,USD,8.63,0.09,0.26
NeoCommerce,Spain,Madrid,Monday,12:00,EUR,292.23,AED,72.15,0.72,2.16
EuroLink,Switzerland,Geneva,Wednesday,12:00,CHF,3558.24,AED,878.58,8.79,26.36
SmartFunds,Ireland,Dublin,Tuesday,23:00,EUR,306.06,USD,278.23,2.78,8.35
TradeNova,Germany,Cologne,Thursday,6:00,EUR,417.64,GBP,491.34,4.91,14.74
NovaPay,USA,Miami,Tuesday,1:00,USD,182.65,EUR,182.65,1.83,5.48
BuyNet,Spain,Malaga,Friday,7:00,EUR,493.36,GBP,580.43,5.8,17.41
FlexiPay,Vietnam,Hanoi,Monday,20:00,VND,448.58,GBP,527.74,5.28,15.83
MerchantX,Denmark,Copenhagen,Friday,19:00,DKK,99.95,AUD,60.58,0.61,1.82
AlphaPay,Germany,Düsseldorf,Saturday,5:00,EUR,4584.45,GBP,5393.47,53.93,161.8
GlobalMart,South Africa,Pretoria,Sunday,10:00,ZAR,431.48,AED,106.54,1.07,3.2
PaySphere,Sweden,Gothenburg,Tuesday,5:00,SEK,450.34,USD,409.4,4.09,12.28
QuickServe,Malaysia,Ipoh,Monday,12:00,MYR,335.73,USD,305.21,3.05,9.16
FinEdge,Germany,Cologne,Monday,14:00,EUR,325.88,USD,296.26,2.96,8.89
Transactly,France,Lyon,Sunday,10:00,EUR,337.97,AED,83.45,0.83,2.5
Cashwave,South Africa,Durban,Saturday,22:00,ZAR,403.59,GBP,474.81,4.75,14.24
NeoCommerce,Brazil,Rio de Janeiro,Monday,9:00,BRL,150.03,GBP,176.51,1.77,5.3
EuroLink,Malaysia,George Town,Tuesday,7:00,MYR,170.19,USD,154.72,1.55,4.64
SmartFunds,UK,Leeds,Wednesday,12:00,GBP,229.03,USD,208.21,2.08,6.25
TradeNova,Ireland,Waterford,Tuesday,15:00,EUR,3727.41,GBP,4385.19,43.85,131.56
NovaPay,China,Shenzhen,Friday,0:00,CNY,493.7,AUD,299.21,2.99,8.98
BuyNet,China,Guangzhou,Saturday,5:00,CNY,295.16,EUR,295.16,2.95,8.85
FlexiPay,Japan,Osaka,Sunday,8:00,JPY,302.38,GBP,355.74,3.56,10.67
MerchantX,Malaysia,Kuching,Sunday,9:00,MYR,259.03,AUD,156.99,1.57,4.71
AlphaPay,UK,Glasgow,Saturday,23:00,GBP,246.15,AUD,149.18,1.49,4.48
GlobalMart,Switzerland,Zurich,Saturday,9:00,CHF,948.51,AUD,574.85,5.75,17.25
PaySphere,Norway,Bergen,Tuesday,22:00,NOK,3638.3,USD,3307.55,33.08,99.23
QuickServe,Canada,Hamilton,Thursday,20:00,CAD,3.19,EUR,3.19,0.03,0.1
FinEdge,Vietnam,Hai Phong,Wednesday,8:00,VND,130.93,EUR,130.93,1.31,3.93
Transactly,USA,Austin,Friday,9:00,USD,91.61,AED,22.62,0.23,0.68
Cashwave,Switzerland,Lausanne,Friday,21:00,CHF,95.68,EUR,95.68,0.96,2.87
NeoCommerce,South Africa,Cape Town,Tuesday,11:00,ZAR,3223.37,EUR,3223.37,32.23,96.7
EuroLink,Singapore,Singapore,Sunday,10:00,SGD,365.09,AUD,221.27,2.21,6.64
SmartFunds,China,Chengdu,Monday,5:00,CNY,185.22,AUD,112.26,1.12,3.37
TradeNova,China,Chengdu,Wednesday,12:00,CNY,52.97,EUR,52.97,0.53,1.59
NovaPay,Sweden,Västerås,Monday,13:00,SEK,84.1,USD,76.46,0.76,2.29
BuyNet,Ireland,Waterford,Wednesday,11:00,EUR,326.88,USD,297.16,2.97,8.91
FlexiPay,Italy,Palermo,Friday,22:00,EUR,440.9,GBP,518.71,5.19,15.56
MerchantX,Norway,Bergen,Thursday,19:00,NOK,210.77,GBP,247.97,2.48,7.44
AlphaPay,UAE,Abu Dhabi,Friday,9:00,AED,4771.79,USD,4338,43.38,130.14
GlobalMart,Japan,Tokyo,Tuesday,2:00,JPY,119.97,AUD,72.71,0.73,2.18
PaySphere,Sweden,Uppsala,Friday,14:00,SEK,485.41,AED,119.85,1.2,3.6
QuickServe,UK,London,Wednesday,11:00,GBP,159.93,EUR,159.93,1.6,4.8
FinEdge,Netherlands,Amsterdam,Saturday,12:00,EUR,5.22,USD,4.74,0.05,0.14
Transactly,Italy,Florence,Thursday,7:00,EUR,181.4,GBP,213.41,2.13,6.4
Cashwave,UK,Manchester,Thursday,8:00,GBP,351.28,AUD,212.89,2.13,6.39
NeoCommerce,Netherlands,Eindhoven,Tuesday,14:00,EUR,131.4,GBP,154.59,1.55,4.64
EuroLink,China,Beijing,Sunday,9:00,CNY,485.11,EUR,485.11,4.85,14.55
SmartFunds,Switzerland,Bern,Saturday,6:00,CHF,139.09,USD,126.44,1.26,3.79
TradeNova,Germany,Frankfurt,Wednesday,13:00,EUR,336.37,AED,83.05,0.83,2.49
NovaPay,France,Lille,Saturday,14:00,EUR,228.93,USD,208.12,2.08,6.24
BuyNet,Spain,Las Palmas,Monday,7:00,EUR,459.04,USD,417.31,4.17,12.52
FlexiPay,Netherlands,Breda,Sunday,17:00,EUR,443.55,AED,109.52,1.1,3.29
MerchantX,India,Mumbai,Sunday,22:00,INR,314.88,AUD,190.83,1.91,5.72
AlphaPay,Ireland,Dublin,Friday,5:00,EUR,324,USD,294.55,2.95,8.84
GlobalMart,Germany,Hamburg,Thursday,22:00,EUR,62.68,AED,15.48,0.15,0.46
PaySphere,Sweden,Malmö,Saturday,15:00,SEK,441.87,AUD,267.8,2.68,8.03
QuickServe,Japan,Fukuoka,Sunday,7:00,JPY,73.16,AED,18.06,0.18,0.54
FinEdge,Denmark,Aarhus,Saturday,17:00,DKK,71.91,EUR,71.91,0.72,2.16
Transactly,Switzerland,Basel,Saturday,11:00,CHF,101.08,USD,91.89,0.92,2.76
Cashwave,Netherlands,Amsterdam,Thursday,21:00,EUR,494.79,USD,449.81,4.5,13.49
NeoCommerce,Australia,Perth,Monday,11:00,AUD,390.27,GBP,459.14,4.59,13.77
EuroLink,Switzerland,Zurich,Friday,17:00,CHF,387.41,EUR,387.41,3.87,11.62
SmartFunds,France,Bordeaux,Thursday,23:00,EUR,174.61,USD,158.74,1.59,4.76
TradeNova,Canada,Toronto,Tuesday,16:00,CAD,3119.83,USD,2836.21,28.36,85.09
NovaPay,Singapore,Singapore,Friday,17:00,SGD,305.4,GBP,359.3,3.59,10.78
BuyNet,USA,Dallas,Tuesday,12:00,USD,390.28,AED,96.37,0.96,2.89
FlexiPay,Switzerland,Lausanne,Friday,9:00,CHF,91.3,GBP,107.41,1.07,3.22
MerchantX,UAE,Ajman,Friday,17:00,AED,447.77,USD,407.06,4.07,12.21
AlphaPay,Germany,Bremen,Wednesday,3:00,EUR,273.71,GBP,322.01,3.22,9.66
GlobalMart,Singapore,Singapore,Friday,14:00,SGD,282.39,USD,256.72,2.57,7.7
PaySphere,France,Lille,Sunday,7:00,EUR,262.03,AED,64.7,0.65,1.94
QuickServe,Malaysia,George Town,Thursday,6:00,MYR,484.29,EUR,484.29,4.84,14.53
FinEdge,China,Shanghai,Tuesday,23:00,CNY,3034.62,AUD,1839.16,18.39,55.17
Transactly,Singapore,Singapore,Sunday,5:00,SGD,454.56,GBP,534.77,5.35,16.04
Cashwave,Sweden,Stockholm,Tuesday,20:00,SEK,443.13,AUD,268.56,2.69,8.06
NeoCommerce,China,Chengdu,Thursday,6:00,CNY,93.83,AUD,56.86,0.57,1.71
EuroLink,Netherlands,Tilburg,Wednesday,4:00,EUR,443.55,USD,403.23,4.03,12.1
SmartFunds,Japan,Sapporo,Saturday,13:00,JPY,2104.34,AUD,1275.36,12.75,38.26
TradeNova,Vietnam,Can Tho,Wednesday,10:00,VND,2987.68,AED,737.7,7.38,22.13
NovaPay,Ireland,Dublin,Thursday,18:00,EUR,402.73,AUD,244.08,2.44,7.32
BuyNet,Denmark,Copenhagen,Friday,15:00,DKK,472.7,AED,116.72,1.17,3.5
FlexiPay,Denmark,Odense,Sunday,17:00,DKK,28.69,USD,26.08,0.26,0.78
MerchantX,Spain,Zaragoza,Monday,13:00,EUR,81.34,AUD,49.3,0.49,1.48
AlphaPay,Brazil,Salvador,Tuesday,12:00,BRL,105.27,AUD,63.8,0.64,1.91
GlobalMart,Singapore,Singapore,Saturday,7:00,SGD,927.29,GBP,1090.93,10.91,32.73
PaySphere,Vietnam,Da Nang,Wednesday,3:00,VND,767.99,AED,189.63,1.9,5.69
QuickServe,Italy,Florence,Sunday,1:00,EUR,198.24,AED,48.95,0.49,1.47
FinEdge,Malaysia,Ipoh,Tuesday,20:00,MYR,255.12,GBP,300.14,3,9
Transactly,Denmark,Odense,Monday,8:00,DKK,39.72,GBP,46.73,0.47,1.4
Cashwave,Netherlands,Groningen,Wednesday,7:00,EUR,419.63,AUD,254.32,2.54,7.63
NeoCommerce,Mexico,Monterrey,Thursday,11:00,MXN,494.41,USD,449.46,4.49,13.48
EuroLink,Sweden,Malmö,Saturday,4:00,SEK,846.07,AUD,512.77,5.13,15.38
SmartFunds,Switzerland,Bern,Saturday,6:00,CHF,223.38,GBP,262.8,2.63,7.88
TradeNova,USA,Austin,Monday,15:00,USD,147.49,AUD,89.39,0.89,2.68
NovaPay,Italy,Bologna,Thursday,8:00,EUR,224,USD,203.63,2.04,6.11
BuyNet,Australia,Darwin,Friday,3:00,AUD,480.53,GBP,565.33,5.65,16.96
FlexiPay,Norway,Oslo,Sunday,14:00,NOK,94.93,AUD,57.53,0.58,1.73
MerchantX,Germany,Cologne,Wednesday,8:00,EUR,421.82,AED,104.15,1.04,3.12
AlphaPay,Vietnam,Ho Chi Minh City,Sunday,12:00,VND,465.55,AED,114.95,1.15,3.45
GlobalMart,Sweden,Gothenburg,Monday,9:00,SEK,358.35,GBP,421.59,4.22,12.65
PaySphere,UAE,Abu Dhabi,Wednesday,5:00,AED,296.68,EUR,296.68,2.97,8.9
QuickServe,Denmark,Odense,Sunday,0:00,DKK,246.37,AED,60.83,0.61,1.82
FinEdge,Denmark,Copenhagen,Wednesday,0:00,DKK,486.74,AUD,295,2.95,8.85
Transactly,USA,Austin,Tuesday,21:00,USD,22.05,GBP,25.95,0.26,0.78
Cashwave,Mexico,Tijuana,Tuesday,17:00,MXN,275.66,AUD,167.07,1.67,5.01
NeoCommerce,UAE,Sharjah,Wednesday,6:00,AED,455.23,AUD,275.9,2.76,8.28
EuroLink,Netherlands,Groningen,Thursday,8:00,EUR,199.11,USD,181.01,1.81,5.43
SmartFunds,Vietnam,Da Nang,Tuesday,16:00,VND,494.64,EUR,494.64,4.95,14.84
TradeNova,Malaysia,Johor Bahru,Thursday,3:00,MYR,170.84,AED,42.18,0.42,1.27
NovaPay,Mexico,Guadalajara,Monday,19:00,MXN,435.98,AUD,264.23,2.64,7.93
BuyNet,Japan,Sapporo,Saturday,8:00,JPY,13.39,AED,3.31,0.03,0.1
FlexiPay,Mexico,Monterrey,Friday,19:00,MXN,448.44,EUR,448.44,4.48,13.45
MerchantX,USA,Chicago,Friday,19:00,USD,448.71,GBP,527.89,5.28,15.84
AlphaPay,Sweden,Stockholm,Monday,3:00,SEK,460.37,AUD,279.01,2.79,8.37
GlobalMart,Japan,Sapporo,Friday,23:00,JPY,4661.23,AED,1150.92,11.51,34.53
PaySphere,Italy,Genoa,Friday,9:00,EUR,3767.66,AED,930.29,9.3,27.91
QuickServe,Thailand,Chiang Mai,Wednesday,12:00,THB,471.31,AED,116.37,1.16,3.49
FinEdge,Ireland,Limerick,Tuesday,9:00,EUR,354.23,AED,87.46,0.87,2.62
Transactly,Denmark,Esbjerg,Friday,2:00,DKK,306.48,AED,75.67,0.76,2.27
Cashwave,Germany,Leipzig,Saturday,21:00,EUR,125.93,USD,114.48,1.14,3.43
NeoCommerce,Italy,Verona,Friday,13:00,EUR,300.2,AUD,181.94,1.82,5.46
EuroLink,UK,Manchester,Saturday,19:00,GBP,166.42,AED,41.09,0.41,1.23
SmartFunds,Thailand,Phuket,Thursday,10:00,THB,43.98,EUR,43.98,0.44,1.32
TradeNova,Thailand,Bangkok,Sunday,3:00,THB,176.2,AUD,106.79,1.07,3.2
NovaPay,Switzerland,Bern,Monday,1:00,CHF,53.82,AED,13.29,0.13,0.4
BuyNet,Thailand,Chiang Mai,Friday,6:00,THB,284.71,GBP,334.95,3.35,10.05
FlexiPay,Sweden,Uppsala,Thursday,15:00,SEK,63.74,EUR,63.74,0.64,1.91
MerchantX,Singapore,Singapore,Wednesday,6:00,SGD,484.96,GBP,570.54,5.71,17.12
AlphaPay,Vietnam,Hai Phong,Saturday,9:00,VND,4763.15,GBP,5603.71,56.04,168.11
GlobalMart,South Africa,Port Elizabeth,Wednesday,11:00,ZAR,33.38,USD,30.35,0.3,0.91
PaySphere,Denmark,Odense,Wednesday,14:00,DKK,216.43,AED,53.44,0.53,1.6
QuickServe,Switzerland,Basel,Monday,20:00,CHF,327.44,AUD,198.45,1.98,5.95
FinEdge,Ireland,Waterford,Wednesday,14:00,EUR,307.79,USD,279.81,2.8,8.39
Transactly,France,Montpellier,Saturday,7:00,EUR,283.09,AED,69.9,0.7,2.1
Cashwave,Brazil,Rio de Janeiro,Thursday,9:00,BRL,267.68,GBP,314.92,3.15,9.45
NeoCommerce,Denmark,Esbjerg,Tuesday,2:00,DKK,250.85,AED,61.94,0.62,1.86
EuroLink,Canada,London,Monday,0:00,CAD,358.33,AUD,217.17,2.17,6.52
SmartFunds,China,Shenzhen,Friday,16:00,CNY,177.63,USD,161.48,1.61,4.84
TradeNova,Vietnam,Hanoi,Friday,6:00,VND,279.18,AUD,169.2,1.69,5.08
NovaPay,China,Shanghai,Thursday,11:00,CNY,442.79,GBP,520.93,5.21,15.63
BuyNet,Singapore,Singapore,Thursday,9:00,SGD,429.78,EUR,429.78,4.3,12.89
FlexiPay,France,Lyon,Saturday,4:00,EUR,329.59,GBP,387.75,3.88,11.63
MerchantX,India,Delhi,Wednesday,12:00,INR,2696.65,GBP,3172.53,31.73,95.18
AlphaPay,Germany,Frankfurt,Thursday,21:00,EUR,206.75,AUD,125.3,1.25,3.76
GlobalMart,Germany,Hamburg,Monday,19:00,EUR,410.57,AED,101.38,1.01,3.04
PaySphere,Sweden,Västerås,Thursday,15:00,SEK,188.79,GBP,222.11,2.22,6.66
QuickServe,Mexico,Puebla,Friday,18:00,MXN,130,USD,118.18,1.18,3.55
FinEdge,Switzerland,Zurich,Thursday,10:00,CHF,293.5,USD,266.82,2.67,8
Transactly,Ireland,Waterford,Friday,14:00,EUR,434.77,USD,395.25,3.95,11.86
Cashwave,Vietnam,Ho Chi Minh City,Wednesday,6:00,VND,18.61,GBP,21.9,0.22,0.66
NeoCommerce,Thailand,Phuket,Friday,2:00,THB,410.35,EUR,410.35,4.1,12.31
EuroLink,Australia,Perth,Friday,23:00,AUD,228.65,GBP,269,2.69,8.07
SmartFunds,Norway,Trondheim,Saturday,7:00,NOK,124.2,GBP,146.11,1.46,4.38
TradeNova,Ireland,Dublin,Tuesday,12:00,EUR,292.14,AUD,177.06,1.77,5.31
NovaPay,China,Shanghai,Sunday,8:00,CNY,84.22,EUR,84.22,0.84,2.53
BuyNet,Malaysia,Ipoh,Wednesday,21:00,MYR,353.96,AED,87.4,0.87,2.62
FlexiPay,South Africa,Cape Town,Saturday,13:00,ZAR,342.95,GBP,403.47,4.03,12.1
MerchantX,Malaysia,Kuala Lumpur,Friday,23:00,MYR,447.32,USD,406.66,4.07,12.2
AlphaPay,Germany,Berlin,Friday,15:00,EUR,301.14,USD,273.77,2.74,8.21
GlobalMart,Australia,Brisbane,Saturday,13:00,AUD,3629.19,AED,896.1,8.96,26.88
PaySphere,South Africa,Pretoria,Monday,18:00,ZAR,124.78,EUR,124.78,1.25,3.74
QuickServe,Germany,Bremen,Monday,14:00,EUR,462.06,USD,420.06,4.2,12.6
FinEdge,Brazil,Salvador,Wednesday,21:00,BRL,292.19,USD,265.63,2.66,7.97
Transactly,India,Delhi,Tuesday,12:00,INR,751.56,EUR,751.56,7.52,22.55
Cashwave,Switzerland,Basel,Wednesday,13:00,CHF,264.16,GBP,310.78,3.11,9.32
NeoCommerce,UAE,Abu Dhabi,Sunday,16:00,AED,362.45,EUR,362.45,3.62,10.87
EuroLink,Australia,Adelaide,Tuesday,14:00,AUD,231.85,USD,210.77,2.11,6.32
SmartFunds,Sweden,Västerås,Thursday,6:00,SEK,299.02,AUD,181.22,1.81,5.44
TradeNova,Mexico,Monterrey,Sunday,9:00,MXN,383.97,GBP,451.73,4.52,13.55
NovaPay,Australia,Canberra,Thursday,14:00,AUD,49.86,GBP,58.66,0.59,1.76
BuyNet,Switzerland,Basel,Saturday,10:00,CHF,190.87,EUR,190.87,1.91,5.73
FlexiPay,Sweden,Västerås,Tuesday,15:00,SEK,389.15,USD,353.77,3.54,10.61
MerchantX,Ireland,Waterford,Tuesday,10:00,EUR,229.09,AED,56.56,0.57,1.7
AlphaPay,Norway,Tromsø,Tuesday,14:00,NOK,283.77,EUR,283.77,2.84,8.51
GlobalMart,Denmark,Odense,Wednesday,11:00,DKK,418.89,EUR,418.89,4.19,12.57
PaySphere,Vietnam,Hai Phong,Friday,0:00,VND,447.95,GBP,527,5.27,15.81
QuickServe,Italy,Venice,Tuesday,22:00,EUR,280.78,AUD,170.17,1.7,5.11
FinEdge,Norway,Bergen,Saturday,8:00,NOK,454.02,USD,412.74,4.13,12.38
Transactly,Malaysia,George Town,Wednesday,18:00,MYR,107.28,GBP,126.22,1.26,3.79
Cashwave,Australia,Newcastle,Friday,18:00,AUD,477.7,AED,117.95,1.18,3.54
NeoCommerce,South Africa,Port Elizabeth,Friday,11:00,ZAR,89.07,GBP,104.79,1.05,3.14
EuroLink,Spain,Palma,Wednesday,23:00,EUR,291.76,GBP,343.24,3.43,10.3
SmartFunds,Japan,Tokyo,Monday,12:00,JPY,449.84,USD,408.94,4.09,12.27
TradeNova,Malaysia,Johor Bahru,Saturday,15:00,MYR,303.58,AUD,183.99,1.84,5.52
NovaPay,Norway,Oslo,Thursday,5:00,NOK,285.35,USD,259.41,2.59,7.78
BuyNet,Australia,Brisbane,Friday,8:00,AUD,178.81,USD,162.56,1.63,4.88
FlexiPay,France,Bordeaux,Friday,5:00,EUR,491.02,AUD,297.59,2.98,8.93
MerchantX,UAE,Abu Dhabi,Saturday,10:00,AED,192.82,EUR,192.82,1.93,5.78
AlphaPay,Brazil,Brasilia,Saturday,17:00,BRL,372.11,AED,91.88,0.92,2.76
GlobalMart,Japan,Nagoya,Wednesday,16:00,JPY,44.58,AUD,27.02,0.27,0.81
PaySphere,UAE,Dubai,Sunday,14:00,AED,174.62,EUR,174.62,1.75,5.24
QuickServe,Netherlands,Amsterdam,Monday,21:00,EUR,87.91,USD,79.92,0.8,2.4
FinEdge,Japan,Fukuoka,Sunday,19:00,JPY,384.74,USD,349.76,3.5,10.49
Transactly,Canada,Hamilton,Tuesday,2:00,CAD,4732.88,AED,1168.61,11.69,35.06
Cashwave,Italy,Genoa,Wednesday,13:00,EUR,309.95,AED,76.53,0.77,2.3
NeoCommerce,Vietnam,Da Nang,Wednesday,12:00,VND,4210.4,GBP,4953.41,49.53,148.6
EuroLink,Malaysia,Ipoh,Friday,12:00,MYR,262.59,AUD,159.14,1.59,4.77
SmartFunds,Spain,Valencia,Saturday,15:00,EUR,212.33,AUD,128.69,1.29,3.86
TradeNova,USA,Houston,Thursday,6:00,USD,66.1,AED,16.32,0.16,0.49
NovaPay,Malaysia,Johor Bahru,Wednesday,19:00,MYR,470.41,EUR,470.41,4.7,14.11
BuyNet,UAE,Al Ain,Thursday,19:00,AED,9.47,AUD,5.74,0.06,0.17
FlexiPay,Norway,Bergen,Thursday,8:00,NOK,346.42,GBP,407.55,4.08,12.23
MerchantX,India,Hyderabad,Friday,20:00,INR,409.42,AED,101.09,1.01,3.03
AlphaPay,Spain,Malaga,Tuesday,8:00,EUR,2926.45,AED,722.58,7.23,21.68
GlobalMart,Japan,Tokyo,Saturday,20:00,JPY,130.98,AUD,79.38,0.79,2.38
PaySphere,Japan,Fukuoka,Sunday,15:00,JPY,408.97,GBP,481.14,4.81,14.43
QuickServe,India,Mumbai,Saturday,3:00,INR,126.05,EUR,126.05,1.26,3.78
FinEdge,South Africa,Cape Town,Thursday,15:00,ZAR,160.41,AED,39.61,0.4,1.19
Transactly,Ireland,Limerick,Tuesday,22:00,EUR,202.19,AED,49.92,0.5,1.5
Cashwave,Malaysia,Ipoh,Friday,21:00,MYR,279.06,AUD,169.13,1.69,5.07
NeoCommerce,Thailand,Hat Yai,Saturday,13:00,THB,384.99,AED,95.06,0.95,2.85
EuroLink,China,Beijing,Monday,9:00,CNY,4538.48,USD,4125.89,41.26,123.78
SmartFunds,Spain,Las Palmas,Friday,4:00,EUR,231.22,AED,57.09,0.57,1.71
